area,itemcount
Afghanistan,83
Albania,123
Algeria,124
Angola,109
Antigua and Barbuda,117
Argentina,123
Armenia,133
Australia,128
Austria,139
Azerbaijan,124
Bahamas,116
Bangladesh,123
Barbados,121
Belarus,131
Belgium,136
Belize,112
Benin,117
Bermuda,103
Bolivia (Plurinational State of),122
Bosnia and Herzegovina,124
Botswana,125
Brazil,137
Brunei Darussalam,120
Bulgaria,134
Burkina Faso,115
Cabo Verde,106
Cambodia,116
Cameroon,125
Canada,140
Central African Republic,109
Chad,103
Chile,128
"China, Hong Kong SAR",133
"China, Macao SAR",121
"China, Taiwan Province of",141
"China, mainland",146
Colombia,132
Congo,120
Costa Rica,129
Croatia,129
Cuba,137
Cyprus,135
Czechia,129
C�te d'Ivoire,119
Democratic People's Republic of Korea,97
Denmark,139
Djibouti,107
Dominica,111
Dominican Republic,112
Ecuador,134
Egypt,134
El Salvador,130
Estonia,135
Ethiopia,116
Fiji,125
Finland,133
France,140
French Polynesia,121
Gabon,120
Gambia,108
Georgia,133
Germany,147
Ghana,120
Greece,143
Grenada,120
Guatemala,130
Guinea,112
Guinea-Bissau,91
Guyana,119
Haiti,120
Honduras,132
Hungary,142
Iceland,125
India,134
Indonesia,126
Iran (Islamic Republic of),120
Iraq,120
Ireland,136
Israel,135
Italy,148
Jamaica,119
Japan,143
Jordan,127
Kazakhstan,141
Kenya,127
Kiribati,94
Kuwait,122
Kyrgyzstan,124
Lao People's Democratic Republic,102
Latvia,136
Lebanon,129
Lesotho,75
Liberia,99
Lithuania,140
Luxembourg,127
Madagascar,125
Malawi,120
Malaysia,134
Maldives,104
Mali,116
Malta,130
Mauritania,116
Mauritius,119
Mexico,133
Mongolia,114
Montenegro,118
Morocco,129
Mozambique,114
Myanmar,112
Namibia,121
Nepal,121
Netherlands,141
New Caledonia,129
New Zealand,134
Nicaragua,129
Niger,118
Nigeria,131
Norway,140
Oman,124
Pakistan,133
Panama,130
Paraguay,122
Peru,132
Philippines,142
Poland,136
Portugal,134
Republic of Korea,134
Republic of Moldova,130
Romania,139
Russian Federation,137
Rwanda,108
Saint Kitts and Nevis,99
Saint Lucia,115
Saint Vincent and the Grenadines,109
Samoa,108
Sao Tome and Principe,91
Saudi Arabia,130
Senegal,120
Serbia,127
Sierra Leone,111
Slovakia,130
Slovenia,132
Solomon Islands,100
South Africa,140
Spain,150
Sri Lanka,127
Sudan,104
Suriname,116
Swaziland,117
Sweden,142
Switzerland,141
Tajikistan,102
Thailand,131
The former Yugoslav Republic of Macedonia,130
Timor-Leste,86
Togo,115
Trinidad and Tobago,117
Tunisia,126
Turkey,128
Turkmenistan,90
Uganda,127
Ukraine,134
United Arab Emirates,121
United Kingdom,143
United Republic of Tanzania,129
United States of America,141
Uruguay,124
Uzbekistan,123
Vanuatu,96
Venezuela (Bolivarian Republic of),130
Viet Nam,109
Yemen,119
Zambia,120
Zimbabwe,121
